,lon,lat,alt,NAME,population,area,density
177,120.56,22.411,8,屏東縣佳冬鄉,19380,30.9842,625
178,120.551,22.421,6,屏東縣佳冬鄉,19380,30.9842,625
179,120.56,22.441,11,屏東縣佳冬鄉,19380,30.9842,625
180,120.54,22.461,7,屏東縣佳冬鄉,19380,30.9842,625
181,120.56279,22.42988,13,屏東縣佳冬鄉,19380,30.9842,625
182,120.539,22.451,6,屏東縣佳冬鄉,19380,30.9842,625
183,120.52,22.411,1,屏東縣佳冬鄉,19380,30.9842,625
184,120.24,23.761,3,雲林縣麥寮鄉,45665,80.1668,570
185,120.29,23.801,8,雲林縣麥寮鄉,45665,80.1668,570
186,120.2,23.781,4,雲林縣麥寮鄉,45665,80.1668,570
187,120.28,23.761,6,雲林縣麥寮鄉,45665,80.1668,570
188,120.26,23.761,5,雲林縣麥寮鄉,45665,80.1668,570
189,120.24,23.801,2,雲林縣麥寮鄉,45665,80.1668,570
190,120.29,23.761,7,雲林縣麥寮鄉,45665,80.1668,570
191,120.22,23.781,1,雲林縣麥寮鄉,45665,80.1668,570
192,120.23,23.851,0,雲林縣麥寮鄉,45665,80.1668,570
193,120.22,23.851,0,雲林縣麥寮鄉,45665,80.1668,570
194,120.251825,23.753506,6,雲林縣麥寮鄉,45665,80.1668,570
195,120.23,23.801,3,雲林縣麥寮鄉,45665,80.1668,570
196,120.3,23.821,7,雲林縣麥寮鄉,45665,80.1668,570
197,120.25,23.761,5,雲林縣麥寮鄉,45665,80.1668,570
198,120.24,23.821,8,雲林縣麥寮鄉,45665,80.1668,570
199,120.28,23.801,7,雲林縣麥寮鄉,45665,80.1668,570
200,120.255,23.75,6,雲林縣麥寮鄉,45665,80.1668,570
201,120.26,23.781,4,雲林縣麥寮鄉,45665,80.1668,570
202,120.29,23.751,8,雲林縣麥寮鄉,45665,80.1668,570
203,120.18,23.801,4,雲林縣麥寮鄉,45665,80.1668,570
204,120.27,23.761,6,雲林縣麥寮鄉,45665,80.1668,570
205,120.19,23.801,5,雲林縣麥寮鄉,45665,80.1668,570
206,120.2729719,23.7981503,6,雲林縣麥寮鄉,45665,80.1668,570
207,120.23,23.761,2,雲林縣麥寮鄉,45665,80.1668,570
208,120.25,23.741,6,雲林縣麥寮鄉,45665,80.1668,570
209,120.25,23.821,3,雲林縣麥寮鄉,45665,80.1668,570
210,120.28,23.821,7,雲林縣麥寮鄉,45665,80.1668,570
211,120.17,23.761,5,雲林縣麥寮鄉,45665,80.1668,570
212,120.21,23.781,0,雲林縣麥寮鄉,45665,80.1668,570
213,120.24,23.781,3,雲林縣麥寮鄉,45665,80.1668,570
214,120.19,23.781,6,雲林縣麥寮鄉,45665,80.1668,570
215,120.23,23.781,2,雲林縣麥寮鄉,45665,80.1668,570
216,120.25,23.801,4,雲林縣麥寮鄉,45665,80.1668,570
217,120.26,23.801,3,雲林縣麥寮鄉,45665,80.1668,570
218,120.29,23.781,6,雲林縣麥寮鄉,45665,80.1668,570
219,120.26,23.821,2,雲林縣麥寮鄉,45665,80.1668,570
220,120.22,23.821,0,雲林縣麥寮鄉,45665,80.1668,570
