"station_id","station_name","station_address","lat","lon"
"74DA38F20DE4","高雄市市立前鎮國小","高雄市前鎮國小 高雄市前鎮區新生路200號","22.586","120.308"
"08BEAC0A046A","臺南市市立佳里國小","臺南市佳里區安西里公園路445號","23.16435098","120.1718527"
"74DA38F2087E","宜蘭縣大同國小松羅分校","[267]宜蘭縣大同鄉松羅南巷88號","24.656","121.578"
"74DA38F2099C","屏東縣縣立新興國小","[913]屏東縣萬丹鄉灣內村聖賢路241號","22.57","120.458"
"74DA38F20898","苗栗縣縣立啟文國小","[360]苗栗縣苗栗市福星里啟賢街61號","24.573","120.827"
"08BEAC0A01A6","臺中市立協成國小","臺中市新社區協成里興義街219號","24.19350258","120.8124575"
"08BEAC09FFFA","臺南市市立五王國小","臺南市永康區中華二路150號","23.0085611","120.2367644"
"74DA38F20CC8","屏東縣縣立忠孝國小","[900]屏東縣屏東市建豐路204號","25.062","121.451"
"74DA38F20C9E","新竹縣縣立五龍國小","[307]新竹縣芎林鄉五龍村105號","24.737","121.123"
"74DA38F209F8","台東縣縣立忠孝國小","[961]臺東縣成功鎮忠孝里成廣路8號","23.157","121.4"
"08BEAC0A0340","臺中市立上石國小","臺中市西屯區西屯路二段上石南六巷25號","24.173657","120.643326"
"74DA38F20BBC","高雄市市立竹圍國小","高雄市竹圍國小 高雄市岡山區竹圍里大仁北路1號","22.803","120.302"
"74DA38F20930","台東縣縣立新港國中","[961]臺東縣成功鎮中正路1號","23.101","121.376"
"74DA38F20FA0","澎湖縣縣立鳥嶼國小","[884]澎湖縣白沙鄉鳥嶼村57號","23.662","119.659"
"74DA38F210DC","屏東縣縣立長榮百合國小","[903]屏東縣瑪家鄉瑪家村和平路一段65號","22.698","120.643"
"74DA38F20DB4","苗栗縣縣立三義高中附設國中","[367]苗栗縣三義鄉廣盛村11鄰122號","24.41","120.765"
"08BEAC0A00B6","臺南市市立大橋國小","臺南市永康區大橋三街173號","23.02018065","120.2269801"
"08BEAC0A04DA","臺中市立育英國小","臺中市后里區太平里四月路23號","24.31132013","120.6795152"
"74DA38F20FAA","高雄市市立河濱國小","高雄市河濱國小 高雄市三民區市中一路339號","22.634","120.287"
"74DA38F20C6E","苗栗縣縣立三灣國小","[352]苗栗縣三灣鄉三灣村中山路49號","25.062","121.451"
"08BEAC245B1A","EPA備品(2020)",,"25.051","121.544"
"74DA38ED04B8","花蓮縣立豐裡國小","[974]花蓮縣壽豐鄉豐裡村中山路299號","23.841","121.507"
"74DA38F20A0A","高雄市市立加昌國小","高雄市加昌國小 高雄市楠梓區樂群路220號","22.72","120.296"
"74DA38F20BE6","新竹縣縣立碧潭國小","[307]新竹縣芎林鄉石潭村福昌街90號","24.746","121.103"
"74DA38F20954","新竹縣縣立照門國中","[305]新竹縣新埔鎮照門里照鏡7號","24.849","121.112"
"74DA38F20BEA","新竹縣縣立中興國小","[303]新竹縣湖口鄉勝利村吉祥街43號","24.866","121.028"
"74DA38F7C496","新北市大觀國中","N/A","25.01","121.448"
"74DA38F20E86","苗栗縣縣立泰興國小",,"24.394","120.92"
"74DA38F20E72","苗栗縣縣立東興國小","[364]苗栗縣大湖鄉東興村下湖37號","24.38","120.882"
"74DA38B053D8","嘉義國立嘉義高級工業職業學校","[600]嘉義市彌陀路174號","23.471","120.464"
"74DA38F2095E","新竹縣縣立竹北國中","[302]新竹縣竹北市中正西路154號","24.841","121.001"
"74DA38F208F6","連江縣縣立介壽國(中)小","[209]連江縣南竿鄉介壽村13號","26.16","119.949"
"08BEAC0A0474","桃園市市立大有國中",,"25.0097261","121.3199264"
"08BEAC0A06AE","臺南市市立五甲國小","臺南市關廟區和平路246號","22.959","120.334"
"74DA38F20A70","屏東縣縣立育英國小","[912]屏東縣內埔鄉興南村育文路73號","22.62","120.581"
"74DA38F20D86","高雄市市立援中國小","高雄市援中國小 高雄市楠梓區大學26街1150號","22.728","120.277"
"74DA38F20C86","高雄市市立水寮國小","高雄市水寮國小 高雄市大樹區水寮里中華路國小巷1號","22.667","120.407"
"74DA38F20846","宜蘭縣縣立凱旋國小","[260]宜蘭縣宜蘭市凱旋路130號","24.724","121.764"
"74DA38F20894","宜蘭縣縣立五結國小","[268]宜蘭縣五結鄉國民路1號","24.687","121.799"
"74DA38F7C36E","市立龍安國小","臺北市大安區龍門里新生南路3段33號","25.03","121.533"
"74DA38F20E58","宜蘭縣縣立南山國小","[267]宜蘭縣大同鄉南山村四鄰埤南巷31之3號","24.437","121.38"
"74DA38F20866","台東縣縣立椰油國小","[952]臺東縣蘭嶼鄉椰油村忠孝街1號","22.045","121.517"
"74DA38F20922","連江縣縣立東引國(中)小","[212]連江縣東引鄉中柳村94號","26.368","120.488"
"08BEAC0A022E","臺中市立海墘國小","臺中市大安區海墘里大安港路1100號","24.3793534953","120.588386022"
"08BEAC252CB8","EPA備品(2020)",,"25.043","121.512"
"74DA38F20982","基隆市立成功國小","[200]基隆市仁愛區獅球路6號","25.125","121.738"
"74DA38F20D7E","基隆市立七堵國小","[206]基隆市七堵區明德一路184號","25.098","121.714"
"74DA38F21148","高雄市市立立德國中","高雄市立立德國民中學 高雄市左營區明建里實踐路101號","22.689","120.291"
"74DA38F20916","屏東縣縣立大同高中附設國中","[900]屏東縣屏東市和平路429號","22.677","120.477"
"74DA38F20AEE","高雄市市立中崙國中","高雄市立中崙國民中學 高雄市鳳山區中榮里中崙二路487號","22.488","120.489"
"74DA38F20E34","高雄市市立興仁國中","高雄市立興仁國民中學 高雄市前鎮區興仁里德昌路345號","22.586","120.313"
"74DA38F20EA2","新竹縣縣立尖石國小","[313]新竹縣尖石鄉嘉樂村六鄰7號","24.728","121.226"
"08BEAC0A0708","臺南市南科實中","台南市新市區三舍里大順六路12巷6號","23.10706685","120.2909742"
"74DA38F2101A","新竹縣備品","[304]新竹縣新豐鄉松林街99號","24.869","120.991"
"74DA38F20E0C","新竹縣縣立清水國小","[305]新竹縣新埔鎮清水里143號","24.867","121.135"
"74DA38F2118E","連江縣縣立仁愛國小","[209]連江縣南竿鄉仁愛村95號","26.148","119.935"
"74DA38F20F42","屏東縣縣立東隆國小","[928]屏東縣東港鎮共和里共和路45號","22.464","120.45"
"08BEAC0A078C","臺南市市立崇明國小","臺南市東區崇明路698號","22.97097445","120.2256058"
"74DA38F209D8","新竹縣縣立員崠國小","[310]新竹縣竹東鎮東峰路281號","24.714","121.07"
"74DA38F20836","宜蘭縣縣立湖山國小","[264]宜蘭縣員山鄉枕山村坡城路54號","24.779","121.699"
"74DA38F210D8","高雄市市立茄萣國中","高雄市立茄萣國民中學 高雄市茄萣區濱海路4段29號","22.906","120.181"
"74DA38F20C80","苗栗縣縣立后庄國小","[351]苗栗縣頭份市文化里文化街20號","24.696","120.899"
"74DA38F20E70","苗栗縣縣立新開國小","[364]苗栗縣大湖鄉新開村25號","24.348","120.827"
